Domaine,Catégories,Visites,Part sur ordinateur,nombre vue ordinateur,Part sur mobile,nombre vue mobile,MoM,YoY,Principale source de trafic,Description catégorie
google.com,1,4040000000.0,23.13,935150000.0,76.87,3110000000.0,3.04%,8.07%,Direct,Internet global
youtube.com,9,2490000000.0,15.27,380830000.0,84.73,2109999999.9999998,6.77%,19.79%,Direct,Streaming
facebook.com,2,452620000.0,50.28,227600000.0,49.72,225020000.0,5.05%,11.04%,Direct,Réseaux sociaux
pornhub.com,3,371590000.0,5.7,21170000.0,94.3,350420000.0,9.58%,26.9%,Recherche,Pornographique
wikipedia.org,1,298780000.0,20.88,62390000.0,79.12,236390000.0,16.77%,-19.53%,Recherche,Internet global
amazon.fr,4,231150000.0,37.45,86570000.0,62.55,144580000.0,5.29%,-4.33%,Direct,E-commerce
instagram.com,2,169090000.0,39.81,67320000.0,60.19,101770000.0,1.84%,17.24%,Direct,Réseaux sociaux
leboncoin.fr,4,167480000.0,31.73,53150000.0,68.27,114330000.0,11%,-7.45%,Direct,E-commerce
yahoo.com,1,162210000.0,74.79,121320000.0,25.21,40900000.0,0.06%,-30.29%,Direct,Internet global
anime-sama.fr,5,157540000.0,3.64,5730000.0,96.36,151810000.0,-21.46%,275.59%,Direct,Manga
twitter.com,2,154940000.0,37.63,58310000.0,62.37,96630000.0,3.71%,-12.46%,Direct,Réseaux sociaux
bing.com,1,153150000.0,29.44,45090000.0,70.56,108060000.0,-0.04%,21.29%,Direct,Internet global
tiktok.com,2,104830000.0,13.91,14580000.0,86.09,90250000.0,6.85%,104.33%,Direct,Réseaux sociaux
xvideos.com,3,102870000.0,11.06,11380000.0,88.94,91490000.0,-5.77%,-5.98%,Direct,Pornographique
japscan.lol,5,99960000.0,1.07,1070000.0,98.93,98890000.0,-16.78%,1162.56%,Direct,Manga
jeuxvideo.com,8,98570000.0,11.71,11550000.0,88.29,87020000.0,13.51%,-18.04%,Direct,Forums
lemonde.fr,7,98000000.0,15.63,15320000.0,84.37,82680000.0,17.19%,-22.84%,Direct,Informations
orange.fr,6,91630000.0,62.35,57130000.0,37.65,34500000.0,1.37%,-6.43%,Direct,Opérateur
francetvinfo.fr,7,90240000.0,11.01,9930000.0,88.99,80310000.0,18.01%,-12.67%,Direct,Informations
lequipe.fr,7,90110000.0,8.74,7870000.0,91.26,82240000.0,18.29%,-15.3%,Direct,Informations
lefigaro.fr,7,89430000.0,19.04,17020000.0,80.96,72410000.0,12.65%,-10.72%,Direct,Informations
ecosia.org,7,88050000.0,16.61,14620000.0,83.39,73430000.0,20.71%,50.3%,Direct,Informations
ouest-france.fr,7,83990000.0,14.8,12430000.0,85.2,71560000.0,14.85%,-4.77%,Direct,Informations
live.com,7,83160000.0,62.1,51650000.0,37.9,31520000.0,-2.4%,-15.69%,Direct,Informations
weather.com,7,82530000.0,1.28,1050000.0,98.72,81470000.0,27.31%,23.96%,Direct,Informations
programme-tv.net,8,78170000.0,14.66,11460000.0,85.34,66709999.99999999,2.11%,-10.49%,Direct,Forums
xhamster.com,8,76970000.0,15.39,11840000.0,84.61,65129999.99999999,-6.68%,8.5%,Direct,Forums
meteofrance.com,7,73360000.0,15.18,11130000.0,84.82,62220000.0,28.13%,-8.64%,Direct,Informations
linkedin.com,2,72410000.0,61.52,44550000.0,38.48,27860000.0,3.66%,-0.35%,Direct,Réseaux sociaux
index-education.net,8,71950000.0,24.88,17900000.0,75.12,54050000.0,7.43%,4.68%,Direct,Forums
netflix.com,9,65680000.00000001,78.76,51730000.0,21.24,13950000.0,-1.04%,-13.07%,Direct,Streaming
aliexpress.com,4,65209999.99999999,48.36,31530000.0,51.64,33670000.0,20.85%,22.38%,Référent,E-commerce
bfmtv.com,7,61320000.0,14.48,8880000.0,85.52,52440000.0,21.58%,-10.3%,Direct,Informations
twitch.tv,9,61110000.0,70.12,42850000.0,29.88,18260000.0,0.22%,2.38%,Direct,Streaming
scan-manga.com,5,60750000.0,2.16,1310000.0,97.84,59440000.0,-17.92%,366.45%,Direct,Manga
openai.com,1,59060000.0,58.93,34800000.0,41.07,24260000.0,3.85%,287.3%,Direct,Internet global
xnxx.com,3,57700000.0,11.11,6410000.0,88.89,51290000.0,-9.91%,-6.53%,Recherche,Pornographique
free.fr,6,57270000.0,40.5,23190000.0,59.5,34070000.0,2.8%,-4.11%,Direct,Opérateur
allocine.fr,8,57230000.0,21.23,12150000.0,78.77,45080000.0,5.3%,-5.95%,Recherche,Forums
microsoft.com,1,56700000.0,59.48,33720000.0,40.52,22980000.0,-0.13%,40.06%,Direct,Internet global
laposte.fr,1,56530000.0,25.15,14220000.0,74.85,42310000.0,3.57%,23.38%,Direct,Internet global
reddit.com,8,54790000.0,26.57,14560000.0,73.43,40230000.0,3.64%,-8.2%,Recherche,Forums
wiflix.voto,1,54710000.0,8.53,4670000.0,91.47,50050000.0,-49.47%,0%,Direct,Internet global
papadustream.bz,9,51950000.0,5.95,3090000.0,94.05,48860000.0,39.91%,0%,Direct,Streaming
