username;anime_id;my_score;user_id;gender;title;type;source;score;scored_by;rank;popularity;genre.1;genre.2;genre.3
MisterPuma;11061;10;82104;Male;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
lucifermydear;11061;10;4628254;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Pyum;11061;10;4488548;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
fuckdad;11061;9;148857;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
MercuryMuffin;11061;7;6125852;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Necronomicon;11061;8;118680;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Ketsukos;11061;0;4669393;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
madokinha;11061;0;6112039;Non-Binary;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
RedvelvetDaisuki;11061;8;1897606;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
StaticzAvenger;11061;9;3725691;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
SteffySama;11061;9;6434255;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
lila94;11061;9;502880;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Dinamet7;11061;9;69982;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
mortisia;11061;8;309349;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Flerkisa;11061;9;225565;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
taaksuu;11061;7;400594;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Mono-no-aware;11061;9;16707;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
5za;11061;8;225342;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
_Yuuko;11061;8;23183;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Jadefire79;11061;8;5232718;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
flyingpardin;11061;9;361903;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
NoRa21;11061;9;810733;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Sinope_K;11061;8;500303;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Myou-Myou;11061;9;692389;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Kiyaa;11061;7;153888;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
Azure_Karura;11061;7;27451;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
sakura189;11061;8;222482;Female;Hunter x Hunter (2011);TV;Manga;9,11;403377;8;35;Action; Adventure; Super Power
